segment_feature,segment_value,transactions,frauds,fraud_rate,minimum_support_met,pr_auc,precision,recall
hour_bucket,12-17,159590,98,0.0006140735635064853,True,0.5667079846709626,0.30493273542600896,0.6938775510204082
hour_bucket,18-23,159744,1132,0.007086338141025641,True,0.9139944039752803,0.6365302382406842,0.9204946996466431
customer_state,AK,807,14,0.01734820322180917,False,1.0,1.0,1.0
customer_state,AL,16559,53,0.003200676369345975,True,0.9633525755702351,0.611764705882353,0.9811320754716981
customer_state,AR,12717,20,0.0015726979633561376,True,0.9696283391405343,0.22727272727272727,1.0
customer_state,AZ,4340,27,0.006221198156682027,True,0.9932659932659933,0.7714285714285715,1.0
customer_state,CA,22885,76,0.003320952589032117,True,0.7964692314274266,0.44155844155844154,0.8947368421052632
customer_state,CO,5542,2,0.00036088054853843375,False,0.04112903225806452,0.047619047619047616,0.5
customer_state,CT,3107,40,0.012874155133569359,True,0.922979270961743,0.9722222222222222,0.875
customer_state,DC,1424,10,0.007022471910112359,True,0.976923076923077,0.5263157894736842,1.0
customer_state,FL,17124,44,0.002569493109086662,True,0.9217254478708826,0.525,0.9545454545454546
customer_state,GA,10685,58,0.0054281703322414596,True,0.9215121183897792,0.6666666666666666,0.896551724137931
customer_state,HI,1034,9,0.008704061895551257,False,0.9765432098765432,0.75,1.0
customer_state,IA,11193,69,0.006164567140176896,True,0.9456625729040598,0.7804878048780488,0.927536231884058
customer_state,ID,2339,22,0.00940572894399316,True,0.9452684169278996,0.6,0.9545454545454546
customer_state,IL,17986,76,0.004225508729011453,True,0.9101725032403003,0.5737704918032787,0.9210526315789473
customer_state,IN,11326,66,0.005827300017658485,True,0.9594228794502218,0.7303370786516854,0.9848484848484849
customer_state,KS,9396,37,0.0039378458918688805,True,0.9908401945704671,0.6271186440677966,1.0
customer_state,KY,11865,55,0.004635482511588706,True,0.9416441465102259,0.6756756756756757,0.9090909090909091
customer_state,LA,8527,14,0.0016418435557640435,True,0.36710049244604837,0.3,0.6428571428571429
customer_state,MA,4885,18,0.00368474923234391,True,0.715496745985827,0.5,0.7222222222222222
customer_state,MD,10558,46,0.0043568857738207995,True,0.9389122861744208,0.7924528301886793,0.9130434782608695
customer_state,ME,6544,7,0.001069682151589242,False,0.9129251700680272,0.2916666666666667,1.0
customer_state,MI,18599,61,0.0032797462229152106,True,0.9383166448080829,0.44360902255639095,0.9672131147540983
customer_state,MN,12965,73,0.005630543771693019,True,0.9341648273663807,0.7204301075268817,0.9178082191780822
customer_state,MO,15579,71,0.004557417035753257,True,0.9415710304944975,0.723404255319149,0.9577464788732394
customer_state,MS,8300,54,0.006506024096385542,True,0.9649183714661618,0.7878787878787878,0.9629629629629629
customer_state,MT,4801,37,0.007706727765048948,True,0.8650239709942689,0.8333333333333334,0.8108108108108109
customer_state,NC,12204,40,0.0032776138970829235,True,0.8962910922616323,0.38144329896907214,0.925
customer_state,ND,6063,27,0.004453240969816922,True,0.9933862433862434,0.6136363636363636,1.0
customer_state,NE,9718,36,0.003704465939493723,True,0.9122079090576295,0.7333333333333333,0.9166666666666666
customer_state,NH,3264,20,0.006127450980392157,True,0.9503063725490195,0.6551724137931034,0.95
customer_state,NJ,9961,28,0.0028109627547434997,True,0.8947728588419663,0.5681818181818182,0.8928571428571429
customer_state,NM,6647,39,0.005867308560252746,True,0.961182674662612,0.7307692307692307,0.9743589743589743
customer_state,NV,2335,0,0.0,False,,,
customer_state,NY,33909,163,0.004806983396738329,True,0.9280238475540452,0.672566371681416,0.9325153374233128
customer_state,OH,19034,30,0.0015761269307554902,True,0.7916413131206794,0.3561643835616438,0.8666666666666667
customer_state,OK,10789,57,0.005283158772824173,True,0.9011157201227682,0.7536231884057971,0.9122807017543859
customer_state,OR,7394,48,0.0064917500676223965,True,0.9002185807272263,0.7678571428571429,0.8958333333333334
customer_state,PA,32437,114,0.003514505040540124,True,0.9636149531700191,0.6568047337278107,0.9736842105263158
customer_state,RI,186,0,0.0,False,,,
customer_state,SC,11874,43,0.003621357588007411,True,0.8253616550236325,0.6981132075471698,0.8604651162790697
customer_state,SD,4936,11,0.002228525121555916,True,1.0,0.7857142857142857,1.0
customer_state,TN,6931,19,0.0027413071706824414,True,0.963983488132095,0.7037037037037037,1.0
customer_state,TX,38178,111,0.0029074336005029074,True,0.874480224433545,0.55,0.8918918918918919
customer_state,UT,4425,0,0.0,False,,,
customer_state,VA,11827,75,0.006341422169611905,True,0.9667130900213096,0.8554216867469879,0.9466666666666667
customer_state,VT,4773,0,0.0,False,,,
customer_state,WA,7704,21,0.0027258566978193145,True,0.776964023332062,0.41025641025641024,0.7619047619047619
customer_state,WI,11713,62,0.005293263894817724,True,0.9663441295480377,0.7058823529411765,0.967741935483871
customer_state,WV,10247,0,0.0,False,,,
customer_state,WY,8025,9,0.0011214953271028037,False,0.4927824463118581,0.21212121212121213,0.7777777777777778
